run,protocol,split,seed,HR@1,NDCG@5,MRR,samples
base,PopMatch-k5,test,42,0.3573007886627553,0.682949086094977,0.5789568063510632,57439
y,PopMatch-k5,test,42,0.22979160500705095,0.6099650726300693,0.48303040326840563,57439
n,PopMatch-k5,test,42,0.46687790525601075,0.7420073619665548,0.6569789980094768,57439
sasrec,PopMatch-k5,test,42,0.17566461811661066,0.5685149085373556,0.429516530580329,57439
