comparison,metric,point_estimate,ci95_low,ci95_high
Y96 vs M1-96-Y,AUC,0.0024848682173134184,-0.0016706848975658439,0.0067379230946188395
Y96 vs M1-96-Y,F1,0.005525328274494035,0.0009575692122464174,0.010251789726088258
Y96 vs M1-96-Y,Accuracy,0.004603828446813729,-0.0008861776707727864,0.010352412318731543
