protocol,exposure,N-K0,M1
k5,48000,0.6029955947,0.594185022
k5,96000,0.6237885463,0.6234361233
k20,96000,0.3890748898678414,0.27665198237885463
k50,96000,0.09585903083700441,0.07876651982378854
