split,common_clean_n,m1_48_clean_n,m1_96_clean_n,intersection_n,m1_48_only_clean_n,m1_96_only_clean_n,m1_96_subset_of_m1_48,identical_masks,same_example_ids,same_candidate_lists_and_order,protocol,metric,N48,M1_48,gap48,N96,M1_96,gap96,gap_change,narrowing
validation,5318,5494,5318,5318,176,0,True,False,True,True,PopMatch-k5,HR@1,0.6032342986084994,0.5925159834524257,0.010718315156073688,0.6222264009025950,0.6209101165851824,0.001316284317412597,-0.009402030838661090,True
validation,5318,5494,5318,5318,176,0,True,False,True,True,PopMatch-k5,NDCG@5,0.8199970608498032,0.8145078622133650,0.005489198636438153,0.8296148448669631,0.8278445890680269,0.001770255798936193,-0.003718942837501960,True
validation,5318,5494,5318,5318,176,0,True,False,True,True,PopMatch-k5,MRR,0.7595273912498433,0.7522502193807196,0.007277171869123689,0.7723329572520997,0.7700357277171870,0.002297229534912737,-0.004979942334210952,True
test,5535,5600,5535,5535,65,0,True,False,True,True,PopMatch-k5,HR@1,0.5850045167118337,0.5756097560975609,0.009394760614272801,0.6074074074074074,0.5936766034327010,0.013730803974706385,0.004336043360433584,False
test,5535,5600,5535,5535,65,0,True,False,True,True,PopMatch-k5,NDCG@5,0.8095222634534835,0.8049882667818574,0.004533996671626128,0.8204369782419914,0.8143879846812738,0.006048993560717531,0.001514996889091402,False
test,5535,5600,5535,5535,65,0,True,False,True,True,PopMatch-k5,MRR,0.7457482685937970,0.7397350195724179,0.006013249021379008,0.7602770249924721,0.7522071665161095,0.008069858476362546,0.002056609454983538,False
