seed,protocol,split,metric,N_metric,M1_metric,paired_delta_N_minus_M1,bootstrap_mean_delta,ci_2_5,ci_97_5,interval_crosses_zero,num_users,num_queries,bootstrap_replicates,bootstrap_seed,frozen_consistency
43,k5,validation,HR@1,0.6280176211453744,0.625374449339207,0.002643171806167355,0.0026518414096916303,-0.00863436123348027,0.0137444933920704,YES,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k5,validation,NDCG@5,0.8321566053521495,0.8303896742566153,0.0017669310955342743,0.0017702435533095112,-0.0030484972495843977,0.006449453035452221,YES,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k5,validation,MRR,0.7757151248164464,0.7734008810572688,0.002314243759177659,0.002318703377386197,-0.004111600587371589,0.008563950073421388,YES,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k5,test,HR@1,0.613920704845815,0.6061674008810573,0.007753303964757707,0.007839348017621145,-0.0033480176211453383,0.018854625550660756,YES,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k5,test,NDCG@5,0.8237104381564874,0.8191371392216878,0.004573298934799519,0.004615147455037932,-0.00014677614790810907,0.009414887284094054,YES,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k5,test,MRR,0.764619676945668,0.7586108663729809,0.0060088105726870955,0.006064377679882525,-0.00031145374449341446,0.012452496328927922,YES,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k20,validation,HR@1,0.2770044052863436,0.19559471365638767,0.08140969162995595,0.08144174449339207,0.07277533039647577,0.0903964757709251,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k20,validation,NDCG@5,0.37971550654225783,0.253310743481912,0.12640476306034581,0.1263641878352656,0.11873097820701034,0.13394569373091939,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k20,validation,MRR,0.41528103427178725,0.324011488054293,0.09126954621749428,0.09127300985601212,0.08476882546423833,0.09775478758902659,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k20,test,HR@1,0.2688986784140969,0.1971806167400881,0.07171806167400882,0.07172738325991189,0.06325991189427313,0.08017621145374448,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k20,test,NDCG@5,0.37103626248934124,0.24884570648169463,0.12219055600764661,0.12218918224568735,0.11474085163280748,0.1297117338535728,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k20,test,MRR,0.40697252302016973,0.320626025821686,0.08634649719848375,0.08634813960115177,0.08007879531224604,0.09268887708257127,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k50,validation,HR@1,0.07859030837004405,0.07524229074889868,0.003348017621145366,0.0033540088105726866,0.0,0.006696035242290746,YES,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k50,validation,NDCG@5,0.09854372119592635,0.0938652542923405,0.004678466903585851,0.004686350935144683,0.0027192411802512617,0.006729715391940076,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k50,validation,MRR,0.15668895077155984,0.14503383958186158,0.011655111189698253,0.01165932669449439,0.00948594096264612,0.013841314028476052,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k50,test,HR@1,0.06766519823788546,0.06255506607929516,0.005110132158590297,0.005116581497797356,0.0012334801762114572,0.008986784140969158,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k50,test,NDCG@5,0.0906269351810558,0.0862598928035387,0.0043670423775171024,0.004361261704578638,0.0023160312441436698,0.006464072133610188,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
43,k50,test,MRR,0.1479518054411477,0.1363257461374203,0.011626059303727398,0.011623614915037486,0.009252836647700598,0.014002271456594502,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
44,k5,validation,HR@1,0.6352422907488987,0.6206167400881057,0.014625550660792963,0.01468933920704846,0.0037004405286343856,0.025903083700440477,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
44,k5,validation,NDCG@5,0.8345124329410905,0.8291123175309281,0.005400115410162387,0.005421744339271186,0.0007098429648947469,0.010139280753896609,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
44,k5,validation,MRR,0.778957415565345,0.7716211453744493,0.007336270190895777,0.00736531160058737,0.0010541850220264382,0.013635903083700348,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
44,k5,test,HR@1,0.6105726872246696,0.6005286343612335,0.010044052863436126,0.010076422907488987,-0.0008810572687224516,0.02114537444933917,YES,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
44,k5,test,NDCG@5,0.8220727346840422,0.8172676642945212,0.004805070389520938,0.004818771186595335,4.595638812708587e-05,0.009591896407333014,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
44,k5,test,MRR,0.7624375917767988,0.7560587371512482,0.006378854625550656,0.006396962114537443,5.2496328927912116e-05,0.012804845814977801,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
44,k20,validation,HR@1,0.2452863436123348,0.19418502202643173,0.05110132158590308,0.05116481057268723,0.043700440528634366,0.05867841409691632,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
44,k20,validation,NDCG@5,0.3509868580977669,0.24504960260626557,0.10593725549150135,0.10591662012068107,0.09936376615714121,0.11259252963255502,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
44,k20,validation,MRR,0.38995501935436605,0.3228180313054769,0.06713698804888912,0.06715871774371338,0.061753543671901494,0.07273296502609444,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
44,k20,test,HR@1,0.2373568281938326,0.19083700440528634,0.04651982378854627,0.04655259911894274,0.03946696035242291,0.05374449339207049,NO,5675,5675,10000,20260915,NUMERICALLY_CONSISTENT_OR_EXACT
