run,label,optimizer_steps,batch_size,actual_exposure,target_exposure,mismatch_pct,unique_n_samples,repeated_samples,known_split,HR@1,NDCG@5,MRR,known_metric_path,model_dir_status,next_action
sasrec_s23,complete_fresh_alignment,23,512,11776,12000,-1.8667,11776,0,validation,0.2523348018,0.6229138773,0.4999765051,outputs/baselines/movielens-1m/alignment_sasrec_s23/valid_metrics.json,complete,none
sasrec_s47,complete_fresh_alignment,47,512,24064,24000,0.2667,24064,0,validation,0.2731277533,0.6364143897,0.5176035242,outputs/baselines/movielens-1m/alignment_sasrec_s47/valid_metrics.json,complete,none
sasrec_s94,complete_fresh_alignment,94,512,48128,48000,0.2667,48128,0,validation,0.2930396476,0.6480369393,0.5328986784,outputs/baselines/movielens-1m/alignment_sasrec_s94/valid_metrics.json,complete,none
sasrec_s188,complete_fresh_alignment,188,512,96256,96000,0.2667,96256,0,validation,0.3281057269,0.6716306227,0.5636093979,outputs/baselines/movielens-1m/alignment_sasrec_s188/valid_metrics.json,complete,none
sasrec_s391,complete_fresh_alignment,391,512,200000,200000,0.0000,200000,0,validation,0.4748898678,0.7561054438,0.6746901615,outputs/baselines/movielens-1m/alignment_sasrec_s391/valid_metrics.json,complete,none
sasrec_s1500,existing_high_repeated_anchor,1500,512,767424,200000,283.7120,200000,567424,test,0.6088105727,0.8198039644,0.7595506608,.agent/sample_efficiency_training_efficiency/final_curve/sample_efficiency_curve.csv,eval_metric_exists,report_as_repeated_exposure_anchor
sasrec_s3000,existing_high_repeated_anchor,3000,512,1534656,200000,667.3280,200000,1334656,test,0.6243171806,0.8283562609,0.7708663730,.agent/sample_efficiency_training_efficiency/final_curve/sample_efficiency_curve.csv,eval_metric_exists,report_as_repeated_exposure_anchor
