target_n_exposure,n_run,n_actual_exposure,n_valid_HR@1,n_valid_NDCG@5,n_valid_MRR,n_test_HR@1,n_test_NDCG@5,n_test_MRR,m1_run,m1_status,m1_n_exposure,m1_y_exposure,sasrec_run,sasrec_actual_exposure,sasrec_valid_HR@1,sasrec_valid_NDCG@5,sasrec_valid_MRR,sasrec_status
12000,N12,12000,,,,,,,M1-12,existing_current_test_known,12000,12000,sasrec_s23,11776,0.2523348018,0.6229138773,0.4999765051,complete_near_12k
24000,N24,24000,0.5774449339,0.8067686847,0.7420058737,0.5612334802,0.7968087155,0.7289720999,M1-24,not_planned_first,24000,24000,sasrec_s47,24064,0.2731277533,0.6364143897,0.5176035242,complete
48000,N48,48000,0.6029955947,0.8200163654,0.7595418502,0.5869603524,0.8106805727,0.7472687225,M1-48,recommended_next,48000,48000,sasrec_s94,48128,0.2930396476,0.6480369393,0.5328986784,complete
96000,N96,96000,0.6237885463,0.8302923694,0.7732422907,0.6100440529,0.8218966233,0.7622026432,M1-96,conditional_after_M1-48,96000,96000,sasrec_s188,96256,0.3281057269,0.6716306227,0.5636093979,complete
200000,N200,200000,0.6516299559,0.8431902590,0.7904170338,0.6281938326,0.8318910144,0.7753803231,M1-200,expensive_conditional,200000,200000,sasrec_s391,200000,0.4748898678,0.7561054438,0.6746901615,complete
