model,point,Y-task exposure,N-task exposure,total exposure,optimizer steps,effective batch,Y_binary_AUC,Y_calibrated_F1,N_HR@1,N_NDCG@5,N_MRR,status
M1,m_s3000,12000,12000,24000,3000,8,0.7664368902,0.7281077294,0.5238766520,0.7781912330,0.7042525698,existing_current
M1,m_s12000,48000,48000,96000,12000,8,,,,,,defer_until_y_n_curve_clear
M1,m_s24000,96000,96000,192000,24000,8,,,,,,conditional_high_point
